,Molecule ID,Solvent-Combo,Method Name,Method Category,File Name,Predicted logD,Experimental logD,Absolute Error
0,SAMPL8-16,Cyclohexane-DMF,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-0.67,-1.3,0.63
1,SAMPL8-6,Cyclohexane-DMF,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-0.43,0.0,0.43
2,SAMPL8-1,Cyclohexane-DMF,EC_RISM_logD,Physical (QM),logD-ECRISM-2,0.37,-0.7,1.0699999999999998
3,SAMPL8-16,TBME-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.89,-1.2,3.09
4,SAMPL8-10,TBME-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,0.19,-0.9,1.09
5,SAMPL8-6,TBME-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.71,-0.2,1.91
6,SAMPL8-5,TBME-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.95,0.0,1.95
7,SAMPL8-1,TBME-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,2.46,0.1,2.36
8,SAMPL8-17,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-3.09,-0.8,2.29
9,SAMPL8-16,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,0.99,-0.3,1.29
10,SAMPL8-14,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-1.41,0.1,1.51
11,SAMPL8-12,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-1.04,-0.4,0.64
12,SAMPL8-10,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-1.02,0.0,1.02
13,SAMPL8-9,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-1.28,0.4,1.6800000000000002
14,SAMPL8-7,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-3.07,-0.4,2.67
15,SAMPL8-6,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,0.23,-0.5,0.73
16,SAMPL8-5,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.03,-0.4,1.4300000000000002
17,SAMPL8-3,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,-4.59,-0.6,3.9899999999999998
18,SAMPL8-1,MEK-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.6,-0.2,1.8
19,SAMPL8-10,Heptane-water,EC_RISM_logD,Physical (QM),logD-ECRISM-2,1.02,-1.0,2.02
